Date,Time,X,X Dev,Y,Y Dev
30-Jan-25,12:02:55 AM,0.0386,-0.0049,0.1023,0.0063
30-Jan-25,12:03:00 AM,0.0397,-0.0038,0.103,0.007
30-Jan-25,12:03:05 AM,0.0396,-0.0039,0.1012,0.0052
30-Jan-25,12:03:10 AM,0.0387,-0.0048,0.0958,-0.0002
30-Jan-25,12:03:15 AM,0.0387,-0.0048,0.101,0.005
30-Jan-25,12:03:20 AM,0.0397,-0.0038,0.0649,-0.0311
30-Jan-25,12:03:25 AM,0.0387,-0.0048,0.081,-0.015
30-Jan-25,12:03:30 AM,0.0385,-0.005,0.0808,-0.0152
30-Jan-25,12:03:35 AM,0.0389,-0.0046,0.0806,-0.0154
30-Jan-25,12:03:40 AM,0.0388,-0.0047,0.0832,-0.0128
30-Jan-25,12:03:45 AM,0.0569,0.0134,0.0656,-0.0304
30-Jan-25,12:03:50 AM,0.0387,-0.0048,0.098,0.002
30-Jan-25,12:03:55 AM,0.0425,-0.001,0.0767,-0.0193
30-Jan-25,12:04:00 AM,0.0389,-0.0046,0.0834,-0.0126
30-Jan-25,12:04:05 AM,0.0463,0.0028,0.0797,-0.0163
30-Jan-25,12:04:10 AM,0.0389,-0.0046,0.0857,-0.0103
30-Jan-25,12:04:15 AM,0.0384,-0.0051,0.0829,-0.0131
30-Jan-25,12:04:20 AM,0.0383,-0.0052,0.0839,-0.0121
30-Jan-25,12:04:25 AM,0.0383,-0.0052,0.0805,-0.0155
30-Jan-25,12:04:30 AM,0.0383,-0.0052,0.0799,-0.0161
30-Jan-25,12:04:35 AM,0.0382,-0.0053,0.0802,-0.0158
30-Jan-25,12:04:40 AM,0.0383,-0.0052,0.079,-0.017
30-Jan-25,12:04:45 AM,0.0383,-0.0052,0.0789,-0.0171
30-Jan-25,12:04:50 AM,0.0384,-0.0051,0.0791,-0.0169
30-Jan-25,12:04:55 AM,0.0382,-0.0053,0.0791,-0.0169
30-Jan-25,12:05:00 AM,0.0382,-0.0053,0.079,-0.017
30-Jan-25,12:05:05 AM,0.0382,-0.0053,0.0789,-0.0171
30-Jan-25,12:05:10 AM,0.0384,-0.0051,0.0791,-0.0169
30-Jan-25,12:05:15 AM,0.0383,-0.0052,0.0792,-0.0168
30-Jan-25,12:05:20 AM,0.0382,-0.0053,0.0793,-0.0167
30-Jan-25,12:05:25 AM,0.0386,-0.0049,0.0792,-0.0168
30-Jan-25,12:05:30 AM,0.0384,-0.0051,0.0788,-0.0172
30-Jan-25,12:05:35 AM,0.0384,-0.0051,0.0782,-0.0178
30-Jan-25,12:05:40 AM,0.0384,-0.0051,0.0819,-0.0141
30-Jan-25,12:05:45 AM,0.0384,-0.0051,0.08,-0.016
30-Jan-25,12:05:50 AM,0.0384,-0.0051,0.0796,-0.0164
30-Jan-25,12:05:56 AM,0.0383,-0.0052,0.0772,-0.0188
30-Jan-25,12:06:00 AM,0.0389,-0.0046,0.0812,-0.0148
30-Jan-25,12:06:05 AM,0.0384,-0.0051,0.081,-0.015
30-Jan-25,12:06:11 AM,0.0384,-0.0051,0.08,-0.016
30-Jan-25,12:06:16 AM,0.0384,-0.0051,0.0804,-0.0156
30-Jan-25,12:06:21 AM,0.0383,-0.0052,0.0836,-0.0124
30-Jan-25,12:06:26 AM,0.0385,-0.005,0.0829,-0.0131
30-Jan-25,12:06:31 AM,0.0386,-0.0049,0.0799,-0.0161
30-Jan-25,12:06:36 AM,0.0383,-0.0052,0.0808,-0.0152
30-Jan-25,12:06:41 AM,0.0383,-0.0052,0.0803,-0.0157
30-Jan-25,12:06:46 AM,0.0384,-0.0051,0.0834,-0.0126
30-Jan-25,12:06:51 AM,0.0386,-0.0049,0.0891,-0.0069
30-Jan-25,12:06:56 AM,0.044,0.0005,0.0866,-0.0094
30-Jan-25,12:07:01 AM,0.0806,0.0371,0.0748,-0.0212
30-Jan-25,12:07:06 AM,0.065,0.0215,0.08,-0.016
30-Jan-25,12:07:11 AM,0.0791,0.0356,0.0727,-0.0233
30-Jan-25,12:07:16 AM,Gauge Error: No Part,,,
30-Jan-25,12:07:21 AM,0.0439,0.0004,0.081,-0.015
30-Jan-25,12:07:26 AM,0.045,0.0015,0.0964,0.0004
30-Jan-25,12:07:31 AM,0.0443,0.0008,0.101,0.005
30-Jan-25,12:07:36 AM,0.0503,0.0068,0.0989,0.0029
30-Jan-25,12:07:41 AM,0.0445,0.001,0.1005,0.0045
30-Jan-25,12:07:46 AM,0.0442,0.0007,0.101,0.005
30-Jan-25,12:07:51 AM,0.0442,0.0007,0.101,0.005
30-Jan-25,12:07:56 AM,0.0443,0.0008,0.1009,0.0049
30-Jan-25,12:08:01 AM,0.0442,0.0007,0.1009,0.0049
30-Jan-25,12:08:06 AM,0.0443,0.0008,0.1016,0.0056
30-Jan-25,12:08:11 AM,0.0443,0.0008,0.101,0.005
30-Jan-25,12:08:16 AM,0.0443,0.0008,0.1013,0.0053
30-Jan-25,12:08:21 AM,0.0442,0.0007,0.1013,0.0053
30-Jan-25,12:08:26 AM,0.0443,0.0008,0.1017,0.0057
30-Jan-25,12:08:31 AM,0.0443,0.0008,0.1018,0.0058
30-Jan-25,12:08:36 AM,0.0453,0.0018,0.1001,0.0041
30-Jan-25,12:08:41 AM,0.0443,0.0008,0.101,0.005
30-Jan-25,12:08:46 AM,0.0444,0.0009,0.1019,0.0059
30-Jan-25,12:08:51 AM,0.0442,0.0007,0.101,0.005
30-Jan-25,12:08:56 AM,0.0441,0.0006,0.1015,0.0055
30-Jan-25,12:09:01 AM,0.0442,0.0007,0.1017,0.0057
30-Jan-25,12:09:06 AM,0.0442,0.0007,0.1017,0.0057
30-Jan-25,12:09:11 AM,0.0442,0.0007,0.1018,0.0058
30-Jan-25,12:09:16 AM,0.0442,0.0007,0.102,0.006
30-Jan-25,12:09:21 AM,0.0442,0.0007,0.1011,0.0051
30-Jan-25,12:09:26 AM,0.0442,0.0007,0.1012,0.0052
30-Jan-25,12:09:31 AM,0.0442,0.0007,0.1019,0.0059
30-Jan-25,12:09:36 AM,0.0442,0.0007,0.1019,0.0059
30-Jan-25,12:09:41 AM,0.0442,0.0007,0.102,0.006
30-Jan-25,12:09:46 AM,0.0441,0.0006,0.1016,0.0056
30-Jan-25,12:09:51 AM,0.0444,0.0009,0.102,0.006
30-Jan-25,12:09:56 AM,0.0443,0.0008,0.102,0.006
30-Jan-25,12:10:01 AM,0.0443,0.0008,0.102,0.006
30-Jan-25,12:10:06 AM,0.0442,0.0007,0.1011,0.0051
30-Jan-25,12:10:11 AM,0.0443,0.0008,0.1018,0.0058
30-Jan-25,12:10:16 AM,0.0443,0.0008,0.102,0.006
30-Jan-25,12:10:21 AM,0.0443,0.0008,0.1021,0.0061
30-Jan-25,12:10:26 AM,0.0443,0.0008,0.102,0.006
30-Jan-25,12:10:31 AM,0.0445,0.001,0.1019,0.0059
30-Jan-25,12:10:36 AM,0.0443,0.0008,0.102,0.006
30-Jan-25,12:10:41 AM,0.0443,0.0008,0.1023,0.0063
30-Jan-25,12:10:46 AM,0.0441,0.0006,0.1019,0.0059
30-Jan-25,12:10:51 AM,0.0443,0.0008,0.1008,0.0048
30-Jan-25,12:10:56 AM,0.0442,0.0007,0.1014,0.0054
30-Jan-25,12:11:01 AM,0.0444,0.0009,0.1023,0.0063
30-Jan-25,12:11:06 AM,0.0444,0.0009,0.1022,0.0062
30-Jan-25,12:11:11 AM,0.0443,0.0008,0.1023,0.0063
30-Jan-25,12:11:16 AM,0.0443,0.0008,0.1022,0.0062
30-Jan-25,12:11:21 AM,0.0443,0.0008,0.1019,0.0059
30-Jan-25,12:11:26 AM,0.0443,0.0008,0.1023,0.0063
30-Jan-25,12:11:31 AM,0.0444,0.0009,0.1023,0.0063
30-Jan-25,12:11:36 AM,0.0445,0.001,0.1022,0.0062
30-Jan-25,12:11:41 AM,0.0442,0.0007,0.1005,0.0045
30-Jan-25,12:11:46 AM,0.0436,0.0001,0.0967,0.0007
30-Jan-25,12:11:51 AM,0.0444,0.0009,0.0997,0.0037
30-Jan-25,12:11:56 AM,0.0446,0.0011,0.1,0.004
30-Jan-25,12:12:01 AM,0.0441,0.0006,0.0987,0.0027
30-Jan-25,12:12:06 AM,0.0438,0.0003,0.0978,0.0018
30-Jan-25,12:12:11 AM,0.0438,0.0003,0.0968,0.0008
30-Jan-25,12:12:16 AM,0.0437,0.0002,0.0968,0.0008
30-Jan-25,12:12:21 AM,0.0436,0.0001,0.0963,0.0003
30-Jan-25,12:12:26 AM,0.0437,0.0002,0.0967,0.0007
30-Jan-25,12:12:31 AM,0.0438,0.0003,0.0959,-0.0001
30-Jan-25,12:12:36 AM,0.0437,0.0002,0.0964,0.0004
30-Jan-25,12:12:41 AM,0.0437,0.0002,0.0966,0.0006
30-Jan-25,12:12:46 AM,0.0437,0.0002,0.0964,0.0004
30-Jan-25,12:12:51 AM,0.0438,0.0003,0.0964,0.0004
30-Jan-25,12:12:56 AM,0.0437,0.0002,0.0963,0.0003
30-Jan-25,12:13:01 AM,0.0437,0.0002,0.0963,0.0003
30-Jan-25,12:13:06 AM,0.0437,0.0002,0.0964,0.0004
30-Jan-25,12:13:11 AM,0.0438,0.0003,0.0962,0.0002
30-Jan-25,12:13:16 AM,0.0438,0.0003,0.096,0
30-Jan-25,12:13:21 AM,0.0438,0.0003,0.0962,0.0002
30-Jan-25,12:13:26 AM,0.0437,0.0002,0.0966,0.0006
30-Jan-25,12:13:31 AM,0.0437,0.0002,0.0965,0.0005
30-Jan-25,12:13:36 AM,0.0437,0.0002,0.0962,0.0002
30-Jan-25,12:13:41 AM,0.0437,0.0002,0.0964,0.0004
30-Jan-25,12:13:46 AM,0.0439,0.0004,0.0952,-0.0008
30-Jan-25,12:13:51 AM,0.0438,0.0003,0.0964,0.0004
30-Jan-25,12:13:56 AM,0.0438,0.0003,0.0959,-0.0001
30-Jan-25,12:14:01 AM,0.0438,0.0003,0.0965,0.0005
30-Jan-25,12:14:06 AM,0.0438,0.0003,0.0962,0.0002
30-Jan-25,12:14:11 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:14:16 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:14:21 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:14:26 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:14:31 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:14:36 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:14:41 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:14:46 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:14:51 AM,0.0439,0.0004,0.096,0
30-Jan-25,12:14:56 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:15:01 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:15:06 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:15:11 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:15:16 AM,0.0438,0.0003,0.0964,0.0004
30-Jan-25,12:15:21 AM,0.0438,0.0003,0.0964,0.0004
30-Jan-25,12:15:26 AM,0.0438,0.0003,0.0964,0.0004
30-Jan-25,12:15:31 AM,0.0437,0.0002,0.0964,0.0004
30-Jan-25,12:15:36 AM,0.0438,0.0003,0.0966,0.0006
30-Jan-25,12:15:41 AM,0.0437,0.0002,0.0965,0.0005
30-Jan-25,12:15:46 AM,0.0437,0.0002,0.0965,0.0005
30-Jan-25,12:15:51 AM,0.0438,0.0003,0.0965,0.0005
30-Jan-25,12:15:56 AM,0.0438,0.0003,0.0963,0.0003
30-Jan-25,12:16:01 AM,0.0438,0.0003,0.0964,0.0004
30-Jan-25,12:16:06 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:16:11 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:16:16 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:16:21 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:16:26 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:16:31 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:16:36 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:16:41 AM,0.044,0.0005,0.0963,0.0003
30-Jan-25,12:16:46 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:16:51 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:16:56 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:17:01 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:17:06 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:17:11 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:17:16 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:17:21 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:17:26 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:17:31 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:17:36 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:17:41 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:17:46 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:17:51 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:17:56 AM,0.0438,0.0003,0.0966,0.0006
30-Jan-25,12:18:02 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:18:07 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:18:12 AM,0.0439,0.0004,0.096,0
30-Jan-25,12:18:17 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:18:22 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:18:27 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:18:32 AM,0.0438,0.0003,0.0962,0.0002
30-Jan-25,12:18:37 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:18:42 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:18:47 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:18:52 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:18:57 AM,0.0442,0.0007,0.096,0
30-Jan-25,12:19:02 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:19:07 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:19:12 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:19:17 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:19:22 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:19:27 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:19:32 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:19:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:19:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:19:47 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:19:52 AM,0.0439,0.0004,0.0966,0.0006
30-Jan-25,12:19:57 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:20:02 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:20:07 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:20:12 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:20:17 AM,0.044,0.0005,0.0965,0.0005
30-Jan-25,12:20:22 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:20:27 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:20:32 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:20:37 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:20:42 AM,0.0439,0.0004,0.096,0
30-Jan-25,12:20:47 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:20:52 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:20:57 AM,0.0439,0.0004,0.0966,0.0006
30-Jan-25,12:21:02 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:21:07 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:21:12 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:21:17 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:21:22 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:21:27 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:21:32 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:21:37 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:21:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:21:47 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:21:52 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:21:57 AM,0.044,0.0005,0.0962,0.0002
30-Jan-25,12:22:02 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:22:07 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:22:12 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:22:17 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:22:22 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:22:27 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:22:32 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:22:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:22:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:22:47 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:22:52 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:22:57 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:23:02 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:07 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:23:12 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:17 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:22 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:27 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:32 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:23:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:23:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:47 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:23:52 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:23:57 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:24:02 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:24:07 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:24:12 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:24:17 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:24:22 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:24:27 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:24:32 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:24:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:24:42 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:24:47 AM,0.044,0.0005,0.0962,0.0002
30-Jan-25,12:24:52 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:24:57 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:25:02 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:25:07 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:25:12 AM,0.044,0.0005,0.0963,0.0003
30-Jan-25,12:25:17 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:25:22 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:25:27 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:25:32 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:25:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:25:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:25:47 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:25:52 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:25:57 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:26:02 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:26:07 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:26:12 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:26:17 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:26:22 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:26:27 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:26:32 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:26:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:26:42 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:26:47 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:26:52 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:26:57 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:27:02 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:27:07 AM,0.0439,0.0004,0.0958,-0.0002
30-Jan-25,12:27:12 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:27:17 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:27:22 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:27:27 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:27:32 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:27:37 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:27:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:27:47 AM,0.044,0.0005,0.0962,0.0002
30-Jan-25,12:27:52 AM,0.044,0.0005,0.096,0
30-Jan-25,12:27:57 AM,0.0439,0.0004,0.0959,-0.0001
30-Jan-25,12:28:02 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:28:07 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:28:12 AM,0.044,0.0005,0.0964,0.0004
30-Jan-25,12:28:17 AM,0.044,0.0005,0.0958,-0.0002
30-Jan-25,12:28:22 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:28:27 AM,0.0439,0.0004,0.0965,0.0005
30-Jan-25,12:28:32 AM,0.044,0.0005,0.0965,0.0005
30-Jan-25,12:28:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:28:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:28:47 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:28:52 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:28:57 AM,0.0438,0.0003,0.0961,0.0001
30-Jan-25,12:29:02 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:29:07 AM,0.0439,0.0004,0.0961,0.0001
30-Jan-25,12:29:12 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:29:17 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:29:22 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:29:27 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:29:32 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:29:37 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:29:42 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:29:47 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:29:52 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:29:57 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:30:02 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:30:07 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:30:12 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:30:17 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:30:22 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:30:27 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:30:32 AM,0.0439,0.0004,0.0963,0.0003
30-Jan-25,12:30:38 AM,0.0439,0.0004,0.0964,0.0004
30-Jan-25,12:30:43 AM,0.044,0.0005,0.0962,0.0002
30-Jan-25,12:30:47 AM,0.044,0.0005,0.0954,-0.0006
30-Jan-25,12:30:53 AM,0.044,0.0005,0.0965,0.0005
30-Jan-25,12:30:58 AM,0.044,0.0005,0.0963,0.0003
30-Jan-25,12:31:03 AM,0.044,0.0005,0.0961,0.0001
30-Jan-25,12:31:08 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:31:13 AM,0.0439,0.0004,0.0962,0.0002
30-Jan-25,12:31:18 AM,0.0439,0.0004,0.096,0
30-Jan-25,12:31:23 AM,0.044,0.0005,0.0961,0.0001
